...1,age,position,detailed_position,nationalTeam.isoCode,national_team,currentTeam.club.name,currentTeam.club.abbr,official_birthday,birth.country.isoCode,birth.country.country,birth.country.demonym,birth.place,name,first_name,last_name,info.shirtNum,name.middle,info.loan,currentTeam.club.source,previousTeam.name,previousTeam.club.name,previousTeam.club.abbr,previousTeam.club.id,previousTeam.teamType,previousTeam.shortName,previousTeam.id,previousTeam.altIds.opta,previousTeam.club.source,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_pull_back,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,assist_attempt_saved,assist_blocked_shot,assist_own_goal,assist_penalty_won,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high,att_cmiss_high_left,att_cmiss_high_right,att_cmiss_left,att_cmiss_right,att_corner,att_fastbreak,att_goal_high_centre,att_goal_high_left,att_goal_high_right,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_post,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_post,att_ibox_target,att_lf_goal,att_lf_target,att_lf_total,att_lg_centre,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obp_goal,att_obx_centre,att_one_on_one,att_openplay,att_post_high,att_post_left,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_high_right,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,big_chance_created,big_chance_missed,big_chance_scored,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,fifty_fifty,final_third_entries,formation_place,fouled_final_third,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,goal_fastbreak,hand_ball,head_clearance,head_pass,hit_woodwork,interception,interceptions_in_box,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,own_goals,passes_left,passes_right,penalty_won,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,post_scoring_att,put_through,rightside_pass,shield_ball_oop,shot_fastbreak,shot_off_target,six_yard_block,successful_fifty_fifty,successful_final_third_passes,successful_open_play_pass,successful_put_through,times_tackled,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_distance_in_m,total_fastbreak,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,winning_goal,wins,won_contest,won_corners,won_tackle,yellow_card,corner_taken,total_corners_intobox,accurate_goal_kicks,blocked_cross,effective_blocked_cross,error_lead_to_goal,error_lead_to_shot,goal_kicks,penalty_conceded,accurate_keeper_sweeper,accurate_keeper_throws,att_assist_setplay,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,good_high_claim,keeper_pick_up,keeper_throws,last_man_tackle,penalty_faced,penalty_save,punches,red_card,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,accurate_corners_intobox,accurate_freekick_cross,foul_throw_in,freekick_cross,goal_assist_deadball,goal_assist_setplay,clearance_off_line,assist_pass_lost,att_freekick_goal,att_freekick_target,att_freekick_total,att_lg_right,att_obox_post,att_obxd_left,att_obx_left,att_obx_right,att_post_right,second_goal_assist,assist_post,att_lg_left,att_pen_goal,att_pen_post,dangerous_play,att_freekick_miss,att_freekick_post,att_obxd_right,assist_handball_won,assist_free_kick_won,second_yellow,att_pen_target,att_pen_miss,back_pass,rescinded_red_card
130,40 years 310 days,G,Goalkeeper,AR,Argentina,Southampton,SOU,28 September 1981,AR,Argentina,NA,Santa Elena,Willy Caballero,Willy,Caballero,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558,70,NA,NA,NA,75,50,0,187,633,NA,NA,NA,1,9,36,NA,NA,NA,NA,NA,191,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,230,NA,NA,NA,2,NA,1,11,NA,NA,NA,11,2,12,29,NA,NA,59,8,NA,NA,552,34,NA,41,38,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,238,76,6,21,3111,0,NA,NA,NA,593,NA,NA,NA,33,46,NA,4,4,257,253,NA,47,2,NA,2,160,0,NA,NA,NA,NA,12,459,NA,0,NA,645,88,33,0,NA,NA,94324.30303955078,NA,59,NA,237,194,0,431,NA,882,NA,NA,NA,2,1,NA,NA,1160,NA,0,0,2,0,19,0,NA,1,1,NA,NA,122,NA,NA,2,2,185,NA,15,133,NA,4,2,21,46,3,21,160,134,NA,6,1,16,NA,50,28,78,3,5,21,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,18 years 160 days,M,Midfielder,GB-ENG,England,Crystal Palace,CRY,25 February 2004,GB-ENG,England,English,NA,Maliq Cadogan,Maliq,Cadogan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,29 years 159 days,M,Centre Defensive Midfielder,PT,Portugal,Nottingham Forest,NFO,26 February 1993,PT,Portugal,Portugese,NA,Cafú,Carlos Miguel,Ribeiro Dias,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,36 years 228 days,D,Centre Central Defender,GB-ENG,England,NA,NA,19 December 1985,GB-ENG,England,English,Dronfield,Gary Cahill,Gary,Cahill,24,James,NA,NA,AFC Bournemouth,Bournemouth,BOU,127,FIRST,Bournemouth,127,t91,NA,7936,446,4,4,25,3129,187,29,895,11061,1,3,49,600,1226,394,2,NA,NA,NA,52,2948,2126,38,7,62,141,6,8,6,NA,1,11,16,18,NA,1,5,1,6,6,8,10,81,2,42,137,50,24,98,3,58,4,6,26,1,27,8,6,36,39,16,3,18,16,NA,52,NA,50,1,1,13,25,107,61,10,4,4,25,17,14,778,1505,8,8,8,97,66,118,103,14,8,89,87,1089,2032,2106,1203,26,1454,1174,8,278,4804,370,28,491,421,70,1,11,4,6,NA,4,1713,948,5,465,71,434,3204,2842,1690,135,346,33374,326,25,48,101,8227,380,5,2,1157,1228,NA,211,28,3517,2688,22,973,510,3,97,2639,34,NA,119,13,14,1015,7121,52,1,73,8710,907,2935,95,23,22,645468.7161865234,2,1997,85,4777,736,31,1765,6,13464,1,286,6,17,484,6,52,19233,139,207,106,269,1,172,71,51,364,41,1,1,0,83,83,8,14,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,20 years 275 days,M,Centre Central Midfielder,EC,Ecuador,NA,NA,2 November 2001,EC,Ecuador,Ecuadorian,NA,Moisés Caicedo,Moisés,Caicedo,6,NA,TRUE,NA,Beerschot,Beerschot,BEE,1949,FIRST,Beerschot,2169,t826,NA,99,6,NA,NA,2,126,1,2,9,225,NA,NA,NA,4,9,8,NA,NA,NA,NA,5,63,43,6,4,3,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,3,NA,1,NA,2,NA,1,2,NA,NA,NA,NA,1,1,1,1,1,1,NA,4,NA,9,NA,NA,1,2,6,NA,NA,NA,NA,2,1,NA,49,56,NA,NA,NA,17,4,7,2,NA,NA,10,2,31,43,7,2,24,28,NA,1,7,85,8,1,6,1,5,1,1,1,1,NA,NA,2,27,NA,10,1,10,62,13,10,1,3,664,NA,1,3,4,274,4,1,NA,51,7,NA,5,NA,74,74,3,26,27,NA,17,78,NA,NA,2,0,15,61,225,14,13,4,119,10,7,10,NA,NA,NA,NA,79,2,155,6,3,16,1,274,NA,10,4,NA,16,1,NA,390,14,10,10,11,1,5,7,1,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,31 years 196 days,M,Left/Centre/Right Attacking Midfielder,GB-SCT,Scotland,Fulham,FUL,20 January 1991,GB-ENG,England,English,NA,Tom Cairney,Tom,Cairney,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,822,98,24,19,4,1323,6,35,141,2121,NA,4,NA,27,23,52,NA,NA,NA,NA,6,418,227,10,26,52,7,4,NA,NA,NA,NA,2,1,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,4,2,3,1,2,3,9,40,NA,1,8,1,3,4,10,1,14,7,NA,32,NA,30,2,NA,NA,NA,5,3,1,NA,0,1,2,5,423,253,5,NA,1,37,14,13,6,15,28,80,10,166,230,16,5,4,315,0,11,24,386,43,3,81,74,7,2,2,2,1,NA,1,8,38,2,32,1,32,656,225,151,34,7,3857,0,32,36,12,1929,14,4,NA,446,344,1,147,4,522,515,24,84,145,2,37,502,2,NA,19,NA,2,644,1750,22,14,68,865,173,23,94,91,64,261037.47204589844,NA,808,11,1627,29,36,209,1,2401,1,45,15,9,65,10,NA,3132,45,64,50,72,0,8,70,12,38,3,29,27,NA,7,7,NA,1,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,13,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,25 years 141 days,F,Centre Striker,GB-ENG,England,Everton,EVE,16 March 1997,GB-ENG,England,English,Sheffield,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,36,17,17,125,1220,1,160,43,1607,2,1,6,771,692,164,2,1,1,4,56,934,580,250,46,64,163,17,23,3,1,NA,14,8,27,17,2,4,1,9,15,14,19,63,1,23,107,41,44,97,5,69,5,17,52,3,23,7,5,39,41,11,1,18,17,1,45,5,237,2,2,20,46,126,24,6,6,7,42,15,11,647,298,13,50,35,147,52,44,22,52,5,161,35,1240,1002,129,105,130,268,NA,52,192,704,119,45,174,147,27,29,11,6,10,2,5,105,781,7,38,1,38,608,101,46,66,18,10783,3,19,56,131,2495,15,35,NA,480,516,8,141,8,1655,1655,67,50,181,6,147,556,1,17,120,10,65,738,1588,62,78,75,550,63,129,177,57,57,472673.63009643555,18,1298,464,2022,7,198,70,57,2515,5,303,38,45,70,7,8,4440,530,397,397,167,4,63,80,60,40,22,1,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
137,22 years 11 days,F,Centre Striker,EC,Ecuador,Inter Miami CF,MIA,24 July 2000,EC,Ecuador,Ecuadorian,Guayaquil,Leonardo Campana,Leonardo,Campana,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,19 years 217 days,M,Centre Attacking Midfielder,GB-WLS,Wales,Wolverhampton Wanderers,WOL,30 December 2002,GB-WLS,Wales,Welsh,NA,Chem Campbell,Chem,Campbell,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,8,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,NA,1,NA,12,NA,NA,NA,NA,9,NA,NA,NA,NA,4,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,8,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,8,NA,NA,NA,NA,9,NA,NA,NA,1,1,NA,1,11,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,25 years 183 days,F,Left/Right Winger,ES,Spain,Brentford,BRE,2 February 1997,ES,Spain,Spanish,Nules,Sergi Canós,Sergi,Canós,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,33,14,10,1,252,7,6,27,424,NA,3,15,27,10,32,1,NA,NA,NA,20,176,124,25,8,13,12,3,7,0,2,NA,1,2,3,NA,1,NA,1,NA,1,0,1,2,NA,NA,3,6,3,8,NA,8,NA,1,2,NA,2,2,2,1,3,4,NA,2,2,NA,7,NA,25,NA,NA,2,9,28,NA,1,NA,1,4,3,1,120,183,3,2,1,70,10,27,2,28,40,25,7,133,105,35,12,69,112,0,4,29,298,25,3,35,27,8,3,2,2,2,NA,2,12,47,NA,22,2,22,153,89,32,16,17,2103,4,4,13,13,663,3,3,1,61,145,NA,107,2,428,428,17,80,86,NA,70,102,NA,NA,10,NA,33,140,418,29,52,17,268,90,35,50,87,73,NA,NA,251,7,492,57,6,110,5,673,1,33,16,7,57,5,17,1153,52,47,47,15,1,9,23,11,25,6,17,14,NA,4,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
140,24 years 158 days,M,Left Winger,GB-ENG,England,NA,NA,27 February 1998,GB-ENG,England,English,NA,Todd Cantwell,Todd,Cantwell,14,NA,TRUE,NA,AFC Bournemouth,Bournemouth,BOU,127,FIRST,Bournemouth,127,t91,NA,371,28,1,1,9,629,3,38,35,999,NA,2,16,43,23,45,NA,NA,NA,NA,25,371,165,31,16,35,17,7,2,1,1,1,NA,3,5,1,NA,NA,NA,2,2,2,NA,3,NA,NA,3,10,6,7,NA,8,1,3,6,NA,6,2,4,NA,5,4,NA,10,2,NA,15,1,41,NA,NA,5,7,38,1,1,1,NA,4,1,3,311,170,1,3,4,68,14,58,1,12,10,56,6,226,217,30,6,10,127,NA,15,37,325,35,6,69,63,6,6,2,1,2,NA,1,6,43,NA,21,NA,21,229,69,40,33,6,2940,NA,16,21,16,1192,2,4,NA,267,168,NA,65,4,437,437,22,85,63,NA,68,351,1,1,17,3,5,351,976,38,13,37,436,54,30,88,27,26,NA,1,462,19,807,25,40,76,5,1216,NA,47,24,10,66,7,18,1878,86,92,92,79,0,6,54,14,44,8,4,1,NA,7,7,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,20 years 344 days,G,Goalkeeper,IT,Italy,Leeds United,LEE,25 August 2001,IT,Italy,Italian,NA,Elia Caprile,Elia,Caprile,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,19 years 317 days,D,Defender,IQ,Iraq,NA,NA,21 September 2002,IQ,Iraq,Iraqi,NA,Cardo Siddik Afraciab,Cardo Kamaran,Afraciab,NA,NA,NA,NA,Crystal Palace,Crystal Palace,CRY,6,FIRST,Crystal Palace,6,t31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,36 years 335 days,G,Goalkeeper,GB-ENG,England,Manchester City,MCI,3 September 1985,GB-ENG,England,English,NA,Scott Carson,Scott,Carson,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532,25,NA,NA,NA,673,259,1,832,1205,NA,NA,NA,2,4,146,NA,NA,NA,NA,NA,1153,899,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1077,NA,NA,NA,NA,NA,8,30,NA,NA,NA,35,12,33,128,1,NA,1906,110,NA,4,513,139,NA,225,183,42,NA,2,NA,2,NA,NA,1,NA,NA,7,7,7,46,3233,1123,66,97,12486,NA,4,5,NA,53,NA,NA,1,347,329,NA,122,14,2332,2317,NA,180,1,NA,NA,52,2,NA,NA,NA,NA,399,25,NA,0,9,683,34,143,3,NA,NA,NA,NA,1344,NA,2049,837,2,2301,NA,2732,NA,NA,NA,NA,3,NA,1,5711,NA,8,NA,19,0,45,3,3,3,6,NA,NA,616,NA,NA,10,6,1387,2,22,483,NA,11,63,125,122,4,161,735,495,NA,18,4,66,1,252,185,435,101,30,181,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
